Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,,C,C4,100pF,SMD-0805,1,
2,,CP,C3,47uF/16V,TantalC_SizeC_Reflow,1,
3,,D_ZENER,D2D3D4D5,SMBJ15A-E3/52,SMB_Standard,4,
4,,D_Schottky,D1,STPS340U,Diode-SMB_Standard,1,
5,,CONN1_1,J1J2,CONN1_1,WAGO256,2,
6,,CONN1_2,J3,CONN1_2,Straight_1x02,1,
7,,JUMP_2x1,J4J5J6J7J8J9J10J11J12J13J18,JUMP_2x1,Straight_2x01,11,
8,,JUMP_4X2,J14J15J16J17,JUMP_4X2,Straight_2x04,4,
9,,R,R12,820R,SMD-0805,1,
10,,R,R3,1k2,SMD-0805,1,
11,,R,R1R2R4R5R6R7R8R9R10R11,4k7,SMD-0805,10,
12,,R,R14R15R16R17,20k,SMD-0805,4,
13,,R,R13,-,SMD-0805,1,
14,,TPS4H160-Q1-B,U1,TPS4H160-Q1-B,HTSSOP28,1,
