Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C3","47uF/16V","TantalC_SizeC_Reflow",16.7792,14.9860,180.0000,bottom
"C4","100pF","SMD-0805",10.4140,35.5600,90.0000,bottom
"D1","STPS340U","Diode-SMB_Standard",21.9812,11.1760,90.0000,bottom
"D2","SMBJ15A-E3/52","SMB_Standard",28.9560,9.9060,180.0000,bottom
"D3","SMBJ15A-E3/52","SMB_Standard",29.7180,16.5100,-90.0000,bottom
"D4","SMBJ15A-E3/52","SMB_Standard",30.2260,27.1780,-90.0000,bottom
"D5","SMBJ15A-E3/52","SMB_Standard",24.7752,29.9720,180.0000,bottom
"J1","CONN1_1","WAGO256",17.0180,7.8740,90.0000,top
"J2","CONN1_1","WAGO256",11.9380,7.8740,90.0000,top
"J3","CONN1_2","Straight_1x02",29.7180,21.5900,90.0000,top
"J4","JUMP_2x1","Straight_2x01",5.0800,28.9560,0.0000,top
"J5","JUMP_2x1","Straight_2x01",13.2080,36.0680,90.0000,top
"J6","JUMP_2x1","Straight_2x01",5.0800,13.7160,0.0000,top
"J7","JUMP_2x1","Straight_2x01",5.0800,16.2560,0.0000,top
"J8","JUMP_2x1","Straight_2x01",5.0800,18.7960,0.0000,top
"J9","JUMP_2x1","Straight_2x01",5.0800,21.3360,0.0000,top
"J10","JUMP_2x1","Straight_2x01",5.0800,23.8760,0.0000,top
"J11","JUMP_2x1","Straight_2x01",5.0800,26.4160,0.0000,top
"J12","JUMP_2x1","Straight_2x01",18.2880,36.0680,90.0000,top
"J13","JUMP_2x1","Straight_2x01",15.7480,36.0680,90.0000,top
"J14","JUMP_4X2","Straight_2x04",25.4000,4.8260,90.0000,top
"J15","JUMP_4X2","Straight_2x04",35.5600,14.7320,0.0000,top
"J16","JUMP_4X2","Straight_2x04",35.5600,25.9080,0.0000,top
"J17","JUMP_4X2","Straight_2x04",25.4000,35.5600,90.0000,top
"J18","JUMP_2x1","Straight_2x01",5.0800,11.1760,0.0000,top
"M1","HOLE","MountingHole_3mm",5.0800,5.0800,0.0000,top
"M2","HOLE","MountingHole_3mm",35.5600,5.0800,0.0000,top
"M3","HOLE","MountingHole_3mm",35.5600,35.5600,0.0000,top
"M4","HOLE","MountingHole_3mm",5.0800,35.5600,0.0000,top
"R1","4k7","SMD-0805",13.2080,31.7500,0.0000,bottom
"R2","4k7","SMD-0805",9.9060,27.4320,180.0000,bottom
"R3","1k2","SMD-0805",9.6520,31.7500,0.0000,bottom
"R4","4k7","SMD-0805",9.8425,15.2400,180.0000,bottom
"R5","4k7","SMD-0805",9.8425,17.2720,180.0000,bottom
"R6","4k7","SMD-0805",9.8425,19.3040,180.0000,bottom
"R7","4k7","SMD-0805",9.9060,21.3360,180.0000,bottom
"R8","4k7","SMD-0805",9.9060,23.3680,180.0000,bottom
"R9","4k7","SMD-0805",9.9060,25.4000,180.0000,bottom
"R10","4k7","SMD-0805",16.2560,28.8925,90.0000,bottom
"R11","4k7","SMD-0805",9.9060,29.4640,180.0000,bottom
"R12","820R","SMD-0805",13.4620,28.9560,-90.0000,bottom
"R13","-","SMD-0805",17.0180,31.8135,180.0000,bottom
"R14","20k","SMD-0805",23.8125,16.0020,180.0000,bottom
"R15","20k","SMD-0805",26.7335,13.6525,-90.0000,bottom
"R16","20k","SMD-0805",25.9080,23.5585,-90.0000,bottom
"R17","20k","SMD-0805",24.6380,26.7335,0.0000,bottom
"U1","TPS4H160-Q1-B","HTSSOP28",18.8020,22.0790,90.0000,bottom
