Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C3","47uF/16V","TantalC_SizeC_Reflow",16.7792,14.9860,180.0000,bottom
"C4","100pF","SMD-0805",10.4140,35.5600,90.0000,bottom
"D1","STPS340U","Diode-SMB_Standard",21.9812,11.1760,90.0000,bottom
"D2","SMBJ15A-E3/52","SMB_Standard",28.9560,9.9060,180.0000,bottom
"D3","SMBJ15A-E3/52","SMB_Standard",29.7180,16.5100,-90.0000,bottom
"D4","SMBJ15A-E3/52","SMB_Standard",30.2260,27.1780,-90.0000,bottom
"D5","SMBJ15A-E3/52","SMB_Standard",24.7752,29.9720,180.0000,bottom
"R1","4k7","SMD-0805",13.2080,31.7500,0.0000,bottom
"R2","4k7","SMD-0805",9.9060,27.4320,180.0000,bottom
"R3","1k2","SMD-0805",9.6520,31.7500,0.0000,bottom
"R4","4k7","SMD-0805",9.8425,15.2400,180.0000,bottom
"R5","4k7","SMD-0805",9.8425,17.2720,180.0000,bottom
"R6","4k7","SMD-0805",9.8425,19.3040,180.0000,bottom
"R7","4k7","SMD-0805",9.9060,21.3360,180.0000,bottom
"R8","4k7","SMD-0805",9.9060,23.3680,180.0000,bottom
"R9","4k7","SMD-0805",9.9060,25.4000,180.0000,bottom
"R10","4k7","SMD-0805",16.2560,28.8925,90.0000,bottom
"R11","4k7","SMD-0805",9.9060,29.4640,180.0000,bottom
"R12","820R","SMD-0805",13.4620,28.9560,-90.0000,bottom
"R13","-","SMD-0805",17.0180,31.8135,180.0000,bottom
"R14","20k","SMD-0805",23.8125,16.0020,180.0000,bottom
"R15","20k","SMD-0805",26.7335,13.6525,-90.0000,bottom
"R16","20k","SMD-0805",25.9080,23.5585,-90.0000,bottom
"R17","20k","SMD-0805",24.6380,26.7335,0.0000,bottom
"U1","TPS4H160-Q1-B","HTSSOP28",18.8020,22.0790,90.0000,bottom
